Subject,Session,day,block,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory
1,1,1,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2
1,1,1,2,1,1,8,7,7-Aug,F2M1,Female,7,8,7
1,1,1,3,1,1,17,18,17-18,M1F2,Male,17,17,18
1,2,2,1,1,2,4,3,3-Apr,M1F2,Male,4,4,3
1,2,2,2,1,2,9,10,10-Sep,F2M1,Female,10,9,10
1,2,2,3,1,2,16,15,16-15,M1F2,Male,16,16,15
1,3,3,1,1,3,5,6,6-May,M1F2,Male,5,5,6
1,3,3,2,1,3,12,11,11-Dec,F2M1,Female,11,12,11
1,3,3,3,1,3,13,14,13-14,M1F2,Male,13,13,14
2,1,1,1,1,1,1,2,2-Jan,F2M1,Female,2,1,2
2,1,1,2,1,1,8,7,7-Aug,M1F2,Male,8,8,7
2,1,1,3,1,1,17,18,17-18,F2M1,Female,18,17,18
2,2,2,1,1,2,4,3,3-Apr,F2M1,Female,3,4,3
2,2,2,2,1,2,9,10,10-Sep,M1F2,Male,9,9,10
2,2,2,3,1,2,16,15,16-15,F2M1,Female,15,16,15
2,3,3,1,1,3,5,6,6-May,F2M1,Female,6,5,6
2,3,3,2,1,3,12,11,11-Dec,M1F2,Male,12,12,11
2,3,3,3,1,3,13,14,13-14,F2M1,Female,14,13,14
3,1,1,1,1,1,1,2,2-Jan,M2F1,Male,2,2,1
3,1,1,2,1,1,8,7,7-Aug,F1M2,Female,8,7,8
3,1,1,3,1,1,17,18,17-18,M2F1,Male,18,18,17
3,2,2,1,1,2,4,3,3-Apr,M2F1,Male,3,3,4
3,2,2,2,1,2,9,10,10-Sep,F1M2,Female,9,10,9
3,2,2,3,1,2,16,15,16-15,M2F1,Male,15,15,16
3,3,3,1,1,3,5,6,6-May,M2F1,Male,6,6,5
3,3,3,2,1,3,12,11,11-Dec,F1M2,Female,12,11,12
3,3,3,3,1,3,13,14,13-14,M2F1,Male,14,14,13
4,1,1,1,1,1,1,2,2-Jan,F1M2,Female,1,2,1
4,1,1,2,1,1,8,7,7-Aug,M2F1,Male,7,7,8
4,1,1,3,1,1,17,18,17-18,F1M2,Female,17,18,17
4,2,2,1,1,2,4,3,3-Apr,F1M2,Female,4,3,4
4,2,2,2,1,2,9,10,10-Sep,M2F1,Male,10,10,9
4,2,2,3,1,2,16,15,16-15,F1M2,Female,16,15,16
4,3,3,1,1,3,5,6,6-May,F1M2,Female,5,6,5
4,3,3,2,1,3,12,11,11-Dec,M2F1,Male,11,11,12
4,3,3,3,1,3,13,14,13-14,F1M2,Female,13,14,13
5,1,1,1,2,2,4,3,3-Apr,M1F2,Male,4,4,3
5,1,1,2,2,2,9,10,10-Sep,F2M1,Female,10,9,10
5,1,1,3,2,2,16,15,16-15,M1F2,Male,16,16,15
5,2,2,1,2,3,5,6,6-May,M1F2,Male,5,5,6
5,2,2,2,2,3,12,11,11-Dec,F2M1,Female,11,12,11
5,2,2,3,2,3,13,14,13-14,M1F2,Male,13,13,14
5,3,3,1,2,1,1,2,2-Jan,M1F2,Male,1,1,2
5,3,3,2,2,1,8,7,7-Aug,F2M1,Female,7,8,7
5,3,3,3,2,1,17,18,17-18,M1F2,Male,17,17,18
6,1,1,1,2,2,4,3,3-Apr,F2M1,Female,3,4,3
6,1,1,2,2,2,9,10,10-Sep,M1F2,Male,9,9,10
6,1,1,3,2,2,16,15,16-15,F2M1,Female,15,16,15
6,2,2,1,2,3,5,6,6-May,F2M1,Female,6,5,6
6,2,2,2,2,3,12,11,11-Dec,M1F2,Male,12,12,11
6,2,2,3,2,3,13,14,13-14,F2M1,Female,14,13,14
6,3,3,1,2,1,1,2,2-Jan,F2M1,Female,2,1,2
6,3,3,2,2,1,8,7,7-Aug,M1F2,Male,8,8,7
6,3,3,3,2,1,17,18,17-18,F2M1,Female,18,17,18
7,1,1,1,2,2,4,3,3-Apr,M2F1,Male,3,3,4
7,1,1,2,2,2,9,10,10-Sep,F1M2,Female,9,10,9
7,1,1,3,2,2,16,15,16-15,M2F1,Male,15,15,16
7,2,2,1,2,3,5,6,6-May,M2F1,Male,6,6,5
7,2,2,2,2,3,12,11,11-Dec,F1M2,Female,12,11,12
7,2,2,3,2,3,13,14,13-14,M2F1,Male,14,14,13
7,3,3,1,2,1,1,2,2-Jan,M2F1,Male,2,2,1
7,3,3,2,2,1,8,7,7-Aug,F1M2,Female,8,7,8
7,3,3,3,2,1,17,18,17-18,M2F1,Male,18,18,17
8,1,1,1,2,2,4,3,3-Apr,F1M2,Female,4,3,4
8,1,1,2,2,2,9,10,10-Sep,M2F1,Male,10,10,9
8,1,1,3,2,2,16,15,16-15,F1M2,Female,16,15,16
8,2,2,1,2,3,5,6,6-May,F1M2,Female,5,6,5
8,2,2,2,2,3,12,11,11-Dec,M2F1,Male,11,11,12
8,2,2,3,2,3,13,14,13-14,F1M2,Female,13,14,13
8,3,3,1,2,1,1,2,2-Jan,F1M2,Female,1,2,1
8,3,3,2,2,1,8,7,7-Aug,M2F1,Male,7,7,8
8,3,3,3,2,1,17,18,17-18,F1M2,Female,17,18,17
9,1,1,1,3,3,5,6,6-May,M1F2,Male,5,5,6
9,1,1,2,3,3,12,11,11-Dec,F2M1,Female,11,12,11
9,1,1,3,3,3,13,14,13-14,M1F2,Male,13,13,14
9,2,2,1,3,1,1,2,2-Jan,M1F2,Male,1,1,2
9,2,2,2,3,1,8,7,7-Aug,F2M1,Female,7,8,7
9,2,2,3,3,1,17,18,17-18,M1F2,Male,17,17,18
9,3,3,1,3,2,4,3,3-Apr,M1F2,Male,4,4,3
9,3,3,2,3,2,9,10,10-Sep,F2M1,Female,10,9,10
